"","virus","kpred","kest","mspe","rmspe"
"1","AdV1",0.210164930436427,0.07015,0.0196041807451174,0.140014930436427
"2","AdV15",0.163782470472723,0.05352,0.0121578123947481,0.110262470472723
"3","AdV2",0.247543170740021,0.0760395012167077,0.0294135086599619,0.171503669523313
"4","AdV40_Dugan",0.278658963119056,0.0648856380804976,0.0456990344980412,0.213773325038559
"5","AdV41_Tak",0.270260838745925,0.0422475411936957,0.0519900638606415,0.228013297552229
"6","AdV5",0.226770449654868,0.050013345452136,0.0312430738861354,0.176757104202732
"7","AdV6_Tonsil99",0.204843426392087,0.07246,0.0175253715833091,0.132383426392087
"8","B40-8",0.551491583098087,0.35482,0.0386797115983079,0.196671583098087
"9","lambda",0.365103103785809,0.450756228727963,0.00733645781235622,0.0856531249421539
"10","PRD-1",-0.0491246737925244,0.128053718356434,0.0313921826444901,0.177178392148958
"11","T1",0.448337664852524,0.805537465527339,0.127591697602127,0.357199800674814
"12","T2",5.24508612774126,5.362,0.013668853526533,0.11691387225874
"13","T5",4.11201957344571,4.363,0.0629911745133733,0.25098042655429
"14","T6",5.41149616035411,5.362,0.00244986988979959,0.0494961603541082
"15","T7",0.449094828572493,0.522204327581696,0.00534499884537665,0.0731094990092029
"16","T7M",0.394514275486355,1.001,0.367824934038841,0.606485724513645
