"","virus","kpred","kest","mspe","rmspe"
"1","AdV1",0.0640296306302467,0.07015,3.7458921222214e-05,0.00612036936975327
"2","AdV15",0.0375088207726345,0.05352,0.00025635786025082,0.0160111792273655
"3","AdV2",0.0435685469069598,0.0760395012167077,0.00105436287378573,0.0324709543097479
"4","AdV40_Dugan",0.0900319625275612,0.0648856380804976,0.000632337633196992,0.0251463244470637
"5","AdV41_Tak",0.0977089219532277,0.0422475411936957,0.00307596475575378,0.055461380759532
"6","AdV5",0.0586009061559439,0.050013345452136,7.37461988415847e-05,0.00858756070380785
"7","AdV6_Tonsil99",0.0585296527075414,0.07246,0.000194054575688509,0.0139303472924586
"8","B40-8",0.674465085116778,0.35482,0.102172980439312,0.319645085116778
"9","lambda",0.731991945142414,0.450756228727963,0.0790935281871496,0.281235716414451
"10","PRD-1",-0.183949029600273,0.128053718356434,0.0973457147325363,0.312002747956707
"11","T1",0.60085759829417,0.805537465527339,0.0418938480505876,0.204679867233169
"12","T2",5.2711257490976,5.362,0.00825812947707196,0.0908742509023979
"13","T5",4.36035233631672,4.363,7.01012297975723e-06,0.00264766368327951
"14","T6",5.40818809385488,5.362,0.00213334001394706,0.0461880938548784
"15","T7",0.577918266932917,0.522204327581696,0.00310404303803152,0.0557139393512209
"16","T7M",0.502930945837291,1.001,0.248072782714536,0.498069054162709
