"","virus","kpred","kest","mspe","rmspe"
"1","AHNV",0.167815757967759,0.05234,0.0133346506782284,0.115475757967759
"2","CCV",0.3895825856688,0.2818,0.0116170857734522,0.1077825856688
"3","CVB5_Faulkner",0.317976241932086,0.3312,0.000174867777438727,0.0132237580679143
"4","CVB6_Schmitt",0.316266500519042,0.3555,0.00153926748152235,0.0392334994809583
"5","EMC",0.371478071655296,0.3498,0.000469938790692138,0.0216780716552958
"6","EV1_Farouk",0.28981176366903,0.4137,0.0153482951011982,0.12388823633097
"7","EV11",0.305484142573874,0.2767,0.000828526863713107,0.028784142573874
"8","EV12",0.308060378765911,0.2888,0.00037096219020636,0.0192603787659111
"9","FCV",0.382483688313308,0.314880157458307,0.00457023738406316,0.0676035308550016
"10","FR",0.107133862492572,0.09392,0.000174606161972601,0.013213862492572
"11","GA",0.14902966649796,0.0954303464139939,0.00287288711346346,0.0535993200839662
"12","HAV",0.212348633484599,0.390792080640361,0.0318420638328313,0.178443447155762
"13","HEV",0.329037250425251,0.3801,0.00260740439413356,0.0510627495747493
"14","MNV_CW3",0.248283687921853,0.310831247084483,0.00391219715720272,0.0625475591626301
"15","MS2",0.112007324263851,0.0899929868154576,0.000484631053291751,0.0220143374483937
"16","PV1_Mahoney",0.301326801223709,0.2933,6.44295378849438e-05,0.00802680122370947
"17","PV1_Sabin",0.310109703449936,0.289493566093692,0.000425025119491515,0.0206161373562439
"18","QB",0.151454464891853,0.186686178802259,0.00124127366506471,0.0352317139104062
"19","VEEV",0.571061485086401,0.4395,0.0173084243581393,0.131561485086401
