"","virus","kpred","kest","spe","rspe","perc_error"
"1","AHNV",0.147345038781931,0.05234,0.0090259573939563,0.0950050387819315,1.8151516771481
"2","CCV",0.42479366392462,0.2818,0.0204471879225871,0.14299366392462,0.50742960938474
"3","CVB5_Faulkner",0.298192049039078,0.3312,0.00108952482663861,0.0330079509609216,0.0996616876839421
"4","CVB6_Schmitt",0.290476440091021,0.3555,0.00422806334323655,0.0650235599089788,0.182907341516115
"5","EMC",0.353805748764635,0.3498,1.60460231653757e-05,0.00400574876463511,0.0114515402076475
"6","EV1_Farouk",0.282975425759659,0.4137,0.0170889143103183,0.130724574240341,0.315988818565
"7","EV11",0.284553902739889,0.2767,6.16837882476291e-05,0.00785390273988856,0.0283841804838763
"8","EV12",0.280908168186502,0.2888,6.22810093725454e-05,0.0078918318134984,0.0273262874428615
"9","FCV",0.391502841839432,0.314880157458307,0.00587103576176952,0.0766226843811251,0.243339196091677
"10","FR",0.0952758027019927,0.09392,1.83820096673079e-06,0.00135580270199273,0.0144357187179805
"11","GA",0.139542099792615,0.0954303464139939,0.00194584678613628,0.044111753378621,0.462240314912579
"12","HAV",0.481933649892805,0.390792080640361,0.00830678564579798,0.0911415692524437,0.233222661787559
"13","HEV",0.351472774989653,0.3801,0.000819518011793064,0.0286272250103475,0.0753149829264601
"14","MNV_CW3",0.283388010151743,0.310831247084483,0.000753131253346528,0.0274432369327404,0.08828982668297
"15","MS2",0.10886977338793,0.0899929868154576,0.000356333071302668,0.0188767865724722,0.209758418299657
"16","PV1_Mahoney",0.295222483500387,0.2933,3.69594280926019e-06,0.00192248350038698,0.00655466587244113
"17","PV1_Sabin",0.299527586637513,0.289493566093692,0.000100681568273828,0.0100340205438213,0.0346605994710566
"18","QB",0.175532794821736,0.186686178802259,0.000124397974216987,0.011153383980523,0.0597440263231101
"19","VEEV",0.45180822398606,0.4395,0.000151492377691023,0.01230822398606,0.0280050602640729
