"","virus","kpred","kest","mspe","rmspe"
"1","AdV1",0.161337286233902,0.07015,0.00831512117070357,0.091187286233902
"2","AdV15",0.198883503675461,0.05352,0.0211305482008057,0.145363503675461
"3","AdV2",0.184676319360733,0.0760395012167077,0.011801958256458,0.108636818144025
"4","AdV40_Dugan",0.181860387325287,0.0648856380804976,0.0136830919608813,0.116974749244789
"5","AdV41_Tak",0.173962265253067,0.0422475411936957,0.0173487685340363,0.131714724059371
"6","AdV5",0.173717021942139,0.050013345452136,0.0153025995771432,0.123703676490003
"7","AdV6_Tonsil99",0.157609820365906,0.07246,0.00725049190834602,0.0851498203659058
"8","B40-8",0.731029510498047,0.35482,0.14153359578918,0.376209510498047
"9","lambda",0.6235111951828,0.450756228727963,0.0298442784348121,0.172754966454838
"10","PRD-1",0.264443814754486,0.128053718356434,0.01860225839547,0.136390096398052
"11","T1",0.498827755451202,0.805537465527339,0.0940708462549875,0.306709710076136
"12","T2",2.90794634819031,5.362,6.02237932596049,2.45405365180969
"13","T5",2.65961217880249,4.363,2.901530069404,1.70338782119751
"14","T6",1.83730566501617,5.362,12.4234701550671,3.52469433498383
"15","T7",0.487026304006577,0.522204327581696,0.00123749334265168,0.0351780235751197
"16","T7M",0.403311043977737,1.001,0.357232088150982,0.597688956022262
