"","virus","kpred","kest","mspe","rmspe"
"1","AHNV",0.271879285573959,0.05234,0.0481974979103245,0.219539285573959
"2","CCV",0.429353415966034,0.2818,0.0217720105632454,0.147553415966034
"3","CVB5_Faulkner",0.333950698375702,0.3312,7.56634155408913e-06,0.00275069837570191
"4","CVB6_Schmitt",0.351016610860825,0.3555,2.01007781732759e-05,0.0044833891391754
"5","EMC",0.403867185115814,0.3498,0.00292326050634772,0.0540671851158142
"6","EV1_Farouk",0.326555669307709,0.4137,0.00759413437180742,0.0871443306922913
"7","EV11",0.344123959541321,0.2767,0.00454599032022966,0.0674239595413208
"8","EV12",0.345192134380341,0.2888,0.00318007281997039,0.0563921343803406
"9","FCV",0.399215817451477,0.314880157458307,0.00711250354648363,0.0843356599931703
"10","FR",0.230381786823273,0.09392,0.0186218192630003,0.136461786823273
"11","GA",0.24361577630043,0.0954303464139939,0.021958921630628,0.148185429886436
"12","HAV",0.443010956048965,0.390792080640361,0.00272681094893931,0.052218875408604
"13","HEV",0.387658834457397,0.3801,5.71359783543393e-05,0.00755883445739747
"14","MNV_CW3",0.353322148323059,0.310831247084483,0.00180547668806643,0.0424909012385761
"15","MS2",0.298665344715118,0.0899929868154576,0.0435441529514041,0.208672357899661
"16","PV1_Mahoney",0.348555773496628,0.2933,0.00305320050471064,0.0552557734966278
"17","PV1_Sabin",0.34651917219162,0.289493566093692,0.00325191975083605,0.0570256060979281
"18","QB",0.248944252729416,0.186686178802259,0.00387606776911929,0.0622580739271566
"19","VEEV",0.417091608047485,0.4395,0.000502136029897523,0.0224083919525147
