"","virus","kpred","kest","mspe","rmspe"
"1","AHNV",0.225122421979904,0.05234,0.0298537653452417,0.172782421979904
"2","CCV",0.366782426834106,0.2818,0.00722201287061426,0.0849824268341065
"3","CVB5_Faulkner",0.344497054815292,0.3312,0.00017681166676089,0.0132970548152924
"4","CVB6_Schmitt",0.351531863212585,0.3555,1.57461095636325e-05,0.00396813678741453
"5","EMC",0.359989434480667,0.3498,0.000103824575035808,0.0101894344806671
"6","EV1_Farouk",0.330963551998138,0.4137,0.00684531982796475,0.0827364480018616
"7","EV11",0.347097754478455,0.2767,0.00495584383560877,0.0703977544784546
"8","EV12",0.351580560207367,0.2888,0.00394139873995083,0.0627805602073669
"9","FCV",0.378455877304077,0.314880157458307,0.00404187215390789,0.0635757198457704
"10","FR",0.221009284257889,0.09392,0.0161516861731825,0.127089284257889
"11","GA",0.2200827896595,0.0954303464139939,0.0155382316070742,0.124652443245506
"12","HAV",0.335594058036804,0.390792080640361,0.00304682169934281,0.0551980226035572
"13","HEV",0.363646030426025,0.3801,0.000270733114741282,0.0164539695739746
"14","MNV_CW3",0.33311939239502,0.310831247084483,0.000496761421383594,0.0222881453105366
"15","MS2",0.258928716182709,0.0899929868154576,0.0285392806568451,0.168935729367251
"16","PV1_Mahoney",0.346521615982056,0.2933,0.0028325404077414,0.0532216159820557
"17","PV1_Sabin",0.34620726108551,0.289493566093692,0.00321644319962501,0.0567136949918184
"18","QB",0.22882142663002,0.186686178802259,0.00177537910950682,0.0421352478277608
"19","VEEV",0.350501120090485,0.4395,0.00792080062514834,0.0889988799095154
