"","virus","kpred","kest","mspe","rmspe"
"1","AdV1",0.0735755860805511,0.07015,1.17346399952657e-05,0.00342558608055114
"2","AdV15",0.100513190031052,0.05352,0.00220835990929453,0.0469931900310516
"3","AdV2",0.0615803599357605,0.0760395012167077,0.000209066766582392,0.0144591412809472
"4","AdV40_Dugan",0.079359382390976,0.0648856380804976,0.000209489274365105,0.0144737443104784
"5","AdV41_Tak",0.0831332504749298,0.0422475411936957,0.00167164122342959,0.0408857092812341
"6","AdV5",0.0746341943740845,0.050013345452136,0.000606186201637411,0.0246208489219485
"7","AdV6_Tonsil99",0.0735365450382233,0.07246,1.15894921932314e-06,0.00107654503822327
"8","B40-8",0.64838433265686,0.35482,0.0861800174082678,0.29356433265686
"9","lambda",0.788046538829803,0.450756228727963,0.113764753288596,0.337290310101841
"10","PRD-1",0.0727230310440063,0.128053718356434,0.00306148495846563,0.0553306873124276
"11","T1",0.521609306335449,0.805537465527339,0.0806151995820948,0.283928159191889
"12","T2",5.24749612808228,5.362,0.0131111366841507,0.114503871917725
"13","T5",5.27251243591309,4.363,0.827212871080554,0.909512435913086
"14","T6",4.55340480804443,5.362,0.653826184453659,0.808595191955567
"15","T7",0.615320444107056,0.522204327581696,0.00867061115676432,0.0931161165253594
"16","T7M",0.262542694807053,1.001,0.54531919159283,0.738457305192947
