"","virus","kpred","kest","mspe","rmspe"
"1","AdV1",0.0785526037216187,0.07015,7.06037493025596e-05,0.00840260372161865
"2","AdV15",0.0397784411907196,0.05352,0.000188830438508912,0.0137415588092804
"3","AdV2",0.0589581727981567,0.0760395012167077,0.000291771780542397,0.017081328418551
"4","AdV40_Dugan",0.046483963727951,0.0648856380804976,0.000338621618977169,0.0184016743525465
"5","AdV41_Tak",0.0188024938106537,0.0422475411936957,0.000549670246793085,0.023445047383042
"6","AdV5",0.0778211355209351,0.050013345452136,0.000773273188510399,0.027807790068799
"7","AdV6_Tonsil99",0.0387922525405884,0.07246,0.00113351721899072,0.0336677474594116
"8","B40-8",0.709463775157928,0.35482,0.125772207258267,0.354643775157928
"9","lambda",0.815753996372223,0.450756228727963,0.133223370385293,0.36499776764426
"10","PRD-1",0.397067785263062,0.128053718356434,0.0723685681936435,0.269014066906628
"11","T1",0.550955593585968,0.805537465527339,0.0648119295211724,0.25458187194137
"12","T2",5.36171054840088,5.362,8.37822282338159e-08,0.000289451599121193
"13","T5",5.36214399337769,4.363,0.998288719502708,0.999143993377685
"14","T6",4.94738435745239,5.362,0.171906131045165,0.414615642547608
"15","T7",0.864049732685089,0.522204327581696,0.116858280990303,0.341845405103393
"16","T7M",0.39725461602211,1.001,0.36450848867461,0.60374538397789
