"","virus","kpred","kest","mspe","rmspe"
"1","AHNV",0.280261039733887,0.05234,0.051948000353376,0.227921039733887
"2","CCV",0.420817583799362,0.2818,0.0193258886054127,0.139017583799362
"3","CVB5_Faulkner",0.27362260222435,0.3312,0.00331515673461543,0.05757739777565
"4","CVB6_Schmitt",0.360790908336639,0.3555,2.79937110267205e-05,0.00529090833663942
"5","EMC",0.249541342258453,0.3498,0.0100517984521366,0.100258657741547
"6","EV1_Farouk",0.318773746490479,0.4137,0.00901099360535394,0.0949262535095215
"7","EV11",0.292446672916412,0.2767,0.000247957707936474,0.0157466729164124
"8","EV12",0.347166687250137,0.2888,0.00340667018055534,0.0583666872501373
"9","FCV",0.38575404882431,0.314880157458307,0.00502310847736008,0.0708738913660036
"10","FR",0.102010399103165,0.09392,6.54545576484877e-05,0.00809039910316467
"11","GA",0.102190107107162,0.0954303464139939,4.56943646289072e-05,0.0067597606931686
"12","HAV",0.653921008110046,0.390792080640361,0.0692368324713467,0.263128927469685
"13","HEV",0.495248794555664,0.3801,0.0132592448876225,0.115148794555664
"14","MNV_CW3",0.243902891874313,0.310831247084483,0.00447940473113864,0.0669283552101696
"15","MS2",0.128250300884247,0.0899929868154576,0.00146362207975798,0.0382573140687893
"16","PV1_Mahoney",0.269966125488281,0.2933,0.000544469699728638,0.0233338745117188
"17","PV1_Sabin",0.266086250543594,0.289493566093692,0.000547902421261834,0.0234073155500975
"18","QB",0.0990329682826996,0.186686178802259,0.00768308531438626,0.0876532105195597
"19","VEEV",0.394458055496216,0.4395,0.00202877676468197,0.0450419445037842
