"","virus","kpred","kest","mspe","rmspe"
"1","AHNV",0.18661367893219,0.05234,0.0180294208539848,0.13427367893219
"2","CCV",0.355518400669098,0.2818,0.00543440259720965,0.0737184006690979
"3","CVB5_Faulkner",0.302658677101135,0.3312,0.000814607112817261,0.0285413228988647
"4","CVB6_Schmitt",0.377913385629654,0.3555,0.000502359855383578,0.0224133856296539
"5","EMC",0.374892085790634,0.3498,0.000629612769324544,0.0250920857906342
"6","EV1_Farouk",0.292758733034134,0.4137,0.0146267900553089,0.120941266965866
"7","EV11",0.333070874214172,0.2767,0.00317767545967004,0.0563708742141724
"8","EV12",0.332667648792267,0.2888,0.00192437061056167,0.0438676487922668
"9","FCV",0.356592059135437,0.314880157458307,0.00173988274152258,0.0417119016771303
"10","FR",0.0897188484668732,0.09392,1.7649674204294e-05,0.00420115153312683
"11","GA",0.0882395803928375,0.0954303464139939,5.17071159710168e-05,0.00719076602115636
"12","HAV",0.317508935928345,0.390792080640361,0.00537041929888238,0.0732831447120167
"13","HEV",0.410464644432068,0.3801,0.000922011631485911,0.0303646444320679
"14","MNV_CW3",0.30489844083786,0.310831247084483,3.51981899599671e-05,0.00593280624662285
"15","MS2",0.0937940180301666,0.0899929868154576,1.44478382951926e-05,0.00380103121470905
"16","PV1_Mahoney",0.351054549217224,0.2933,0.00333558795528476,0.0577545492172241
"17","PV1_Sabin",0.29508775472641,0.289493566093692,3.12949464584324e-05,0.0055941886327181
"18","QB",0.0805489420890808,0.186686178802259,0.0112651130171093,0.106137236713179
"19","VEEV",0.347313404083252,0.4395,0.00849836846671779,0.092186595916748
